epoch,layer,norm,mean,std
16,batch_normalization_1/W_3,0.057553407,0.057553407,0.0
16,conv2d_1/W_0,2.3112056,0.007196799,0.19246596
16,conv2d_1/W_1,1.2102638,-0.08817083,0.28943402
16,dense_1/W_0,2.4460194,-0.11286725,0.60099846
16,dense_1/W_1,0.4159729,-0.4159729,0.0
17,batch_normalization_1/W_0,1.5045105,1.5045105,0.0
17,batch_normalization_1/W_1,0.83228266,-0.83228266,0.0
17,batch_normalization_1/W_2,0.33760357,0.33760357,0.0
17,batch_normalization_1/W_3,0.057555635,0.057555635,0.0
17,conv2d_1/W_0,2.3169541,0.005923284,0.19298863
17,conv2d_1/W_1,1.2244158,-0.10109092,0.28892952
17,dense_1/W_0,2.4504786,-0.11161041,0.6023669
17,dense_1/W_1,0.4266677,-0.4266677,0.0
18,batch_normalization_1/W_0,1.5026727,1.5026727,0.0
18,batch_normalization_1/W_1,0.85349137,-0.85349137,0.0
18,batch_normalization_1/W_2,0.33926776,0.33926776,0.0
18,batch_normalization_1/W_3,0.05753588,0.05753588,0.0
18,conv2d_1/W_0,2.3319168,0.0056355516,0.19424468
18,conv2d_1/W_1,1.2417067,-0.112709686,0.28924254
18,dense_1/W_0,2.4636729,-0.11424078,0.6052308
18,dense_1/W_1,0.43622822,-0.43622822,0.0
19,batch_normalization_1/W_0,1.5216849,1.5216849,0.0
19,batch_normalization_1/W_1,0.85679126,-0.85679126,0.0
19,batch_normalization_1/W_2,0.3358751,0.3358751,0.0
19,batch_normalization_1/W_3,0.05749069,0.05749069,0.0
19,conv2d_1/W_0,2.3573759,0.0068779127,0.19632755
19,conv2d_1/W_1,1.2455856,-0.12311888,0.28602356
19,dense_1/W_0,2.4810123,-0.110423185,0.61034465
19,dense_1/W_1,0.44348738,-0.44348738,0.0
20,batch_normalization_1/W_0,1.521262,1.521262,0.0
20,batch_normalization_1/W_1,0.87179226,-0.87179226,0.0
20,batch_normalization_1/W_2,0.3393831,0.3393831,0.0
20,batch_normalization_1/W_3,0.057339963,0.057339963,0.0
20,conv2d_1/W_0,2.3741117,0.008460767,0.19766164
20,conv2d_1/W_1,1.2699996,-0.13022108,0.28956634
20,dense_1/W_0,2.4952624,-0.108505204,0.6143065
20,dense_1/W_1,0.45812237,-0.45812237,0.0
